VTID,Chrosome,Start,End,Length,Verification Status,Positive,stg4_6,stg7_8,stg9_10,stg11_12,stg13_14,stg15_16
VT10000,chr2L,19513955,19514673,718,correct,0,NA,NA,NA,NA,NA,NA
VT10001,chr2L,19514746,19517179,2433,correct,0,NA,NA,NA,NA,NA,NA
VT10045,chr2L,19595123,19597286,2163,correct,0,NA,NA,NA,NA,NA,NA
VT10053,chr2L,19608825,19611457,2632,correct,0,NA,NA,NA,NA,NA,NA
VT10054,chr2L,19611313,19613535,2222,correct,0,NA,NA,NA,NA,NA,NA
VT10055,chr2L,19613002,19615344,2342,correct,1,NA,NA,NA,NA,NA,anterior_ventral_nerve_cord_subset;2
VT10060,chr2L,19622726,19624869,2143,correct,0,NA,NA,NA,NA,NA,lateral_epidermis_subset;1
VT10062,chr2L,19626254,19628356,2102,correct,1,NA,NA,NA,NA,ventral_nerve_cord_subset;1|brain_broad;2,ventral_nerve_cord_subset;1|brain_subset;1
VT10063,chr2L,19627960,19630119,2159,correct,1,NA,NA,NA,NA,ventral_nerve_cord_broad;1|brain_subset;2,ventral_nerve_cord_subset;3|brain_subset;3
VT10064,chr2L,19629718,19631896,2178,correct,1,NA,NA,NA,NA,ventral_nerve_cord_subset;3,ventral_nerve_cord_subset;3|brain_subset;1
VT10065,chr2L,19631392,19633594,2202,correct,1,NA,anterior_endoderm_anlage;3,anterior_endoderm_anlage;3,brain_primordium_subset;1,brain_subset;1,head_subset;3|ventral_nerve_cord_subset;1
VT10081,chr2L,19680676,19682797,2121,correct,0,NA,NA,NA,NA,NA,NA
VT10116,chr2L,19770969,19773042,2073,correct,1,procephalic_ectoderm_AISN;1,NA,NA,brain_primordium_subset;3,brain_subset;3,brain_subset;3
VT10117,chr2L,19771967,19774161,2194,correct,1,NA,NA,NA,brain_primordium_subset;2|ventral_nerve_cord_primordium_subset;1,brain_subset;3,brain_subset;2
VT10135,chr2L,19810066,19812148,2082,not_verified,1,dorsal_ectoderm_AISN_subset;1,NA,posterior_endoderm_anlage;2|ventral_nerve_cord_anlage_subset;1,brain_primordium_broad;1|ventral_nerve_cord_primordium_broad;1,brain_broad;1|ventral_nerve_cord_broad;1,ventral_nerve_cord_subset;2
VT10136,chr2L,19811824,19813928,2104,correct,0,NA,NA,NA,NA,NA,NA
VT10251,chr2L,20027862,20030136,2274,correct,0,NA,NA,NA,NA,NA,NA
VT10252,chr2L,20029660,20031750,2090,correct,1,NA,NA,ventral_epidermis_anlage_subset;2,peripheral_nervous_system;3,head_subset;3,NA
VT10253,chr2L,20031380,20033453,2073,correct,0,NA,NA,NA,NA,NA,NA
VT10254,chr2L,20033050,20035187,2137,correct,0,NA,NA,NA,NA,NA,NA
VT10255,chr2L,20034805,20036996,2191,correct,0,NA,NA,NA,NA,NA,NA
VT10256,chr2L,20036478,20038701,2223,correct,0,NA,NA,NA,NA,NA,head_subset;1
