VTID,Chrosome,Start,End,Length,Verification Status,Positive,stg4_6,stg7_8,stg9_10,stg11_12,stg13_14,stg15_16
VT54749,chrX,160772,162644,1872,correct,0,NA,NA,NA,NA,NA,NA
VT54750,chrX,165039,166564,1525,correct,0,NA,NA,NA,NA,NA,NA
VT54751,chrX,166699,167688,989,not_verified,0,NA,NA,NA,NA,NA,NA
VT54773,chrX,210343,211219,876,correct,0,NA,NA,NA,NA,NA,NA
VT54775,chrX,217282,219638,2356,not_verified,0,procephalic_ectoderm_AISN;1,NA,NA,head_subset;1,head_subset;1,NA
VT54776,chrX,219234,221358,2124,correct,0,NA,NA,NA,NA,NA,NA
VT54778,chrX,222699,224763,2064,correct,0,NA,NA,NA,NA,NA,NA
VT54779,chrX,224312,226513,2201,correct,1,NA,NA,NA,NA,NA,pharynx;3|esophagus;3
VT54780,chrX,226133,228242,2109,correct,1,dorsal_ectoderm_AISN_subset;2,dorsal_ectoderm_anlage_subset;3,brain_anlage_subset;1|ventral_nerve_cord_anlage_subset;1,brain_primordium_subset;2|ventral_nerve_cord_primordium_subset;2,brain_subset;2,head_subset;4|telson_subset;4|trunk_epidermis_subset;2
VT54781,chrX,227821,229921,2100,correct,0,NA,NA,NA,NA,NA,NA
VT54782,chrX,229572,231630,2058,correct,0,NA,NA,NA,NA,NA,NA
VT54783,chrX,231286,233368,2082,correct,1,NA,NA,NA,NA,NA,ventral_epidermis_subset;3|salivary_gland;5|head_epidermis_dorsal_broad;4|dorsal_epidermis_broad;4
VT54784,chrX,232988,235114,2126,correct,1,NA,NA,NA,tracheal_system_primordium_broad;3,amnioserosa;3|tracheal_system_broad;3,head_subset;3
VT54786,chrX,236406,238500,2094,correct,0,NA,NA,NA,NA,NA,NA
VT54787,chrX,237999,240208,2209,correct,0,NA,NA,NA,NA,NA,NA
VT54788,chrX,241623,242781,1158,correct,0,NA,NA,NA,NA,NA,NA
VT54789,chrX,244093,246285,2192,correct,0,NA,NA,NA,NA,NA,NA
VT54790,chrX,245623,247749,2126,correct,0,NA,NA,NA,NA,NA,NA
VT54791,chrX,247174,249275,2101,correct,0,NA,NA,NA,NA,NA,NA
VT54792,chrX,248585,250743,2158,correct,0,NA,NA,NA,NA,NA,NA
VT54793,chrX,250096,252196,2100,correct,0,NA,NA,NA,NA,NA,NA
VT54794,chrX,251576,253760,2184,not_verified,0,NA,NA,NA,NA,NA,NA
VT54795,chrX,255237,257329,2092,correct,0,NA,NA,NA,NA,NA,NA
VT54796,chrX,256877,259056,2179,correct,1,NA,NA,dorsal_epidermis_anlage_subset;3,dorsal_epidermis_primordium_subset;2,NA,salivary_gland;2
VT54798,chrX,260257,262456,2199,correct,0,NA,NA,NA,NA,NA,NA
VT54799,chrX,261977,264142,2165,correct,1,NA,ventral_ectoderm_anlage;2,ventral_nerve_cord_anlage_subset;2,NA,NA,NA
VT54800,chrX,264765,267084,2319,correct,0,NA,NA,NA,NA,NA,NA
VT54802,chrX,268460,270655,2195,correct,1,NA,ventral_ectoderm_anlage;2|procephalic_ectoderm_anlage;2,head_subset;3|ventral_epidermis_anlage_subset;3,ventral_epidermis_primordium_subset;3,brain_subset;3|stomatogastric_nervous_system;3,brain_subset;2
VT54803,chrX,270277,272381,2104,correct,1,NA,NA,NA,brain_primordium_subset;1|ventral_nerve_cord_primordium_subset;1,head_subset;3|ventral_nerve_cord_subset;1|brain_subset;2,brain_subset;1
VT54805,chrX,273823,275941,2118,correct,1,procephalic_ectoderm_AISN;3,ventral_ectoderm_anlage;3|procephalic_ectoderm_anlage;3,ventral_ectoderm_anlage;4|head_subset;3|brain_anlage_subset;4,head_subset;3|brain_primordium_subset;3,brain_subset;3,brain_subset;3
VT54809,chrX,280893,283024,2131,correct,0,NA,NA,NA,NA,NA,NA
VT54811,chrX,284491,286594,2103,correct,0,NA,NA,NA,NA,amnioserosa;1|posterior_spiracle;1,NA
VT54815,chrX,293104,295264,2160,correct,0,NA,NA,NA,NA,NA,NA
VT54816,chrX,294866,297063,2197,correct,0,NA,NA,NA,NA,NA,NA
VT54817,chrX,296571,298727,2156,correct,1,NA,ventral_epidermis_anlage;3,ventral_epidermis_anlage_subset;3|hypopharynx_anlage;3|clypeolabrum_anlage;3,ventral_epidermis_primordium_subset;3|hypopharynx_primordium;3|clypeo-labral_primordium;3,NA,NA
VT54819,chrX,299934,302160,2226,correct,0,NA,NA,NA,NA,epipharynx;1,epipharynx;1
VT54820,chrX,301725,303848,2123,correct,1,procephalic_ectoderm_AISN;2,procephalic_ectoderm_anlage;3,brain_anlage_subset;3|ventral_epidermis_anlage_broad;2,brain_primordium_subset;3,brain_subset;3,NA
VT54821,chrX,304792,306956,2164,correct,0,NA,NA,NA,NA,trunk_epidermis_broad;1,NA
VT54823,chrX,308223,310380,2157,correct,1,A-P_stripes;2|middle;2,A-P_stripes;2,brain_anlage_subset;3|ventral_nerve_cord_anlage_subset;1,brain_primordium_subset;3|ventral_nerve_cord_primordium_subset;2,brain_subset;3,NA
VT54824,chrX,310002,312108,2106,correct,1,A-P_stripes;2,ventral_ectoderm_anlage;3|brain_anlage;3,ventral_ectoderm_anlage;3|brain_anlage_subset;3|dorsal_ectoderm_anlage;3,brain_primordium_subset;3|ventral_nerve_cord_primordium_subset;2,brain_subset;3,NA
VT54825,chrX,311766,313924,2158,correct,1,NA,head_mesoderm_anlage;2,dorsal_epidermis_anlage_subset;2,ventral_epidermis_primordium_subset;3|dorsal_epidermis_primordium_subset;3,NA,NA
VT54827,chrX,315230,317337,2107,correct,1,NA,NA,head_mesoderm_anlage;3|plasmatocytes_anlage;3,hemocyte;4|plasmatocytes_anlage;4|head_mesoderm_primordium;4,hemocyte;4|macrophage;4,hemocyte;4|macrophage;4
VT54828,chrX,316930,319149,2219,correct,1,NA,posterior_endoderm_anlage;3|anterior_endoderm_anlage;3,posterior_endoderm_anlage;2|anterior_endoderm_anlage;2|yolk;2,yolk;3,yolk;2,head_subset;3|midgut_chamber;1
VT54829,chrX,318732,320924,2192,correct,0,NA,NA,NA,NA,NA,NA
VT54831,chrX,328587,330249,1662,correct,0,NA,NA,NA,NA,NA,NA
VT54832,chrX,331368,333580,2212,correct,1,NA,ventral_ectoderm_anlage;3,ventral_epidermis_anlage_subset;3,head_subset;2|ventral_epidermis_primordium_subset;2,ventral_epidermis_subset;1,midgut_chamber;1
VT54833,chrX,333109,335283,2174,correct,1,anterior_endoderm_AISN;3,anterior_endoderm_anlage;3,anterior_endoderm_anlage;3,head_epidermis_ventral_primordium_subset;2|brain_primordium_subset;3,head_epidermis_dorsal_subset;3,head_epidermis_dorsal_subset;2
VT54834,chrX,334893,337095,2202,correct,0,NA,NA,NA,NA,NA,NA
VT54835,chrX,336672,338747,2075,correct,1,NA,NA,NA,NA,visceral_muscle_subset;2,visceral_muscle_subset;3
VT54836,chrX,338434,340523,2089,correct,0,NA,NA,NA,NA,NA,NA
VT54838,chrX,341959,344040,2081,correct,0,NA,NA,NA,NA,NA,NA
VT54839,chrX,343683,345799,2116,correct,0,NA,NA,NA,ventral_epidermis_primordium_subset;1,NA,NA
