VTID,Chrosome,Start,End,Length,Verification Status,Positive,stg4_6,stg7_8,stg9_10,stg11_12,stg13_14,stg15_16
VT36266,chr3R,105963,108099,2136,correct,1,NA,NA,NA,NA,NA,brain_broad;2|ventral_nerve_cord_broad;2
VT36267,chr3R,107680,109755,2075,correct,1,NA,NA,NA,ventral_nerve_cord_primordium_subset;1,ventral_nerve_cord_subset;2|brain_subset;1,ventral_nerve_cord_subset;2
VT36268,chr3R,109332,111408,2076,correct,0,procephalic_ectoderm_AISN;1,NA,NA,NA,NA,NA
VT36269,chr3R,110941,113156,2215,correct,0,NA,NA,NA,NA,NA,NA
VT36270,chr3R,112613,114776,2163,correct,1,NA,NA,NA,brain_primordium_subset;2,brain_subset;1,NA
VT36271,chr3R,114313,116437,2124,correct,1,NA,NA,NA,NA,ventral_nerve_cord_subset;3,ventral_nerve_cord_subset;3|brain_subset;3
VT36272,chr3R,115968,118081,2113,correct,1,NA,NA,NA,NA,ventral_nerve_cord_subset;2,ventral_nerve_cord_subset;2|brain_subset;1
VT36274,chr3R,120323,123362,3039,correct,1,NA,NA,NA,NA,crystal_cell;3|fat_body;3,midgut_broad;2|crystal_cell;4|fat_body;3
VT36275,chr3R,124074,125778,1704,correct,1,NA,NA,NA,NA,head_subset;2,NA
VT36298,chr3R,169145,170762,1617,correct,1,NA,ventral_ectoderm_anlage;3,ventral_epidermis_anlage_subset;3|head_epidermis_ventral_anlage;4,head_epidermis_ventral_primordium_subset;4,head_subset;1,head_subset;1
VT36301,chr3R,177099,179292,2193,correct,1,procephalic_ectoderm_AISN;3,procephalic_ectoderm_anlage;2,head_subset;2,NA,NA,NA
VT36302,chr3R,178808,180896,2088,correct,1,NA,NA,ventral_nerve_cord_anlage_subset;3,ventral_nerve_cord_primordium_broad;3|brain_primordium_subset;2,brain_broad;2|ventral_nerve_cord_broad;3,head_subset;2|brain_broad;2|ventral_nerve_cord_broad;2
VT36304,chr3R,182882,183685,803,correct,0,NA,NA,NA,NA,NA,NA
VT36347,chr3R,276935,279086,2151,correct,1,posterior_endoderm_AISN;2|anterior_endoderm_AISN;2,posterior_endoderm_anlage;3|anterior_endoderm_anlage;3,anterior_midgut_anlage;2|posterior_midgut_anlage;1,anterior_midgut_primordium;2|posterior_midgut_primordium;2,midgut_broad;3,midgut_broad;3|ubiquitous;5|head_epidermis_subset;5|trunk_epidermis_subset;5
VT36348,chr3R,279000,281561,2561,not_verified,0,NA,NA,NA,ventral_nerve_cord_primordium_broad;1,brain_broad;1|ventral_nerve_cord_broad;1,brain_broad;1|ventral_nerve_cord_broad;1
VT36349,chr3R,280913,283021,2108,correct,1,NA,NA,NA,NA,esophagus;2,head_subset;2|trunk_epidermis_subset;3|esophagus;4
VT36350,chr3R,282570,284657,2087,correct,1,NA,NA,NA,NA,salivary_gland;2|esophagus;2,posterior_hindgut;3|salivary_gland;2|esophagus;4
VT36352,chr3R,285822,287923,2101,correct,0,NA,NA,NA,NA,NA,NA
VT36353,chr3R,287461,289574,2113,correct,0,NA,NA,NA,NA,NA,NA
VT36543,chr3R,665758,667967,2209,correct,1,NA,NA,head_epidermis_ventral_anlage;3,antenno-maxillary-labial_complex;3|head_epidermis_ventral_primordium_subset;3,NA,NA
VT36574,chr3R,735741,736320,579,correct,0,NA,NA,NA,NA,NA,NA
VT36575,chr3R,736192,738402,2210,correct,1,ubiquitous;3,ubiquitous;3|posterior_endoderm_anlage;3|anterior_endoderm_anlage;3,ubiquitous;2|anterior_midgut_anlage;4|posterior_midgut_anlage;3|trunk_mesoderm_anlage;2,anterior_midgut_primordium;3|posterior_midgut_primordium;3,amnioserosa;3|ubiquitous;2|midgut_subset;3,midgut_chamber;3|ubiquitous;3
VT36615,chr3R,822820,824892,2072,correct,1,NA,NA,NA,brain_primordium_subset;1|ventral_nerve_cord_primordium_subset;1|head_epidermis_lateral_primordium_subset;2|clypeo-labral_primordium;2,ventral_nerve_cord_subset;1|brain_subset;1|head_epidermis_lateral_subset;3|clypeolabrum;3,NA
VT36671,chr3R,940818,943059,2241,correct,1,NA,NA,NA,ventral_midline;3|ventral_midline_glia;3,ventral_epidermis_subset;3|ventral_midline;3|telson_subset;3|ventral_midline_glia;3,head_subset;3|ventral_midline;3
VT36761,chr3R,1117884,1120094,2210,correct,0,NA,NA,NA,NA,NA,NA
VT36771,chr3R,1136673,1138889,2216,correct,0,NA,NA,NA,NA,NA,NA
VT36772,chr3R,1139077,1141258,2181,correct,0,NA,NA,NA,head_subset;1,NA,NA
VT36774,chr3R,1142719,1144823,2104,correct,0,NA,NA,NA,NA,NA,NA
VT36776,chr3R,1146238,1148318,2080,correct,1,NA,NA,NA,NA,visceral_muscle_broad;3|tracheal_system_subset;3,visceral_muscle_broad;2
VT36777,chr3R,1147964,1150125,2161,correct,1,NA,NA,NA,NA,telson_subset;1|hypopharynx;2,NA
VT36778,chr3R,1149737,1151931,2194,correct,0,NA,NA,NA,NA,NA,NA
VT36779,chr3R,1151523,1153724,2201,correct,0,NA,NA,NA,NA,NA,NA
VT36781,chr3R,1155057,1157252,2195,correct,0,NA,NA,NA,NA,NA,NA
VT36782,chr3R,1156788,1158956,2168,correct,1,NA,NA,NA,NA,posterior_spiracle;3,midgut_broad;2|hindgut;2
VT36784,chr3R,1160184,1162503,2319,correct,0,NA,NA,NA,NA,NA,NA
VT36786,chr3R,1169139,1171241,2102,correct,0,NA,NA,ventral_nerve_cord_anlage_subset;1,ventral_nerve_cord_primordium_subset;1,NA,NA
VT36787,chr3R,1170712,1172894,2182,correct,0,NA,NA,NA,NA,NA,NA
VT36788,chr3R,1172429,1174562,2133,correct,1,NA,NA,NA,NA,trunk_epidermis_broad;4|head_epidermis_subset;3,NA
VT36789,chr3R,1174048,1176147,2099,correct,0,NA,NA,NA,NA,NA,NA
VT36790,chr3R,1176127,1178779,2652,correct,0,NA,NA,NA,NA,NA,NA
VT36791,chr3R,1178069,1179631,1562,correct,1,NA,NA,NA,brain_primordium_subset;2,NA,NA
VT36857,chr3R,1315475,1316576,1101,correct,0,NA,NA,NA,NA,NA,NA
VT36866,chr3R,1330230,1332448,2218,correct,0,NA,NA,NA,NA,NA,NA
VT36868,chr3R,1335639,1337219,1580,correct,0,NA,NA,NA,NA,NA,NA
VT36869,chr3R,1337320,1339616,2296,correct,1,NA,NA,NA,hypopharynx_primordium;2,ventral_nerve_cord_subset;2|hypopharynx;2,ventral_nerve_cord_subset;2|brain_subset;2
VT36871,chr3R,1340702,1342813,2111,correct,1,NA,NA,ventral_nerve_cord_anlage_subset;3,head_epidermis_ventral_primordium_subset;3|ventral_nerve_cord_primordium_subset;2|anterior_ventral_nerve_cord_broad;3,head_epidermis_ventral_subset;3|anterior_ventral_nerve_cord_subset;3,head_epidermis_ventral_subset;3|anterior_ventral_nerve_cord_subset;3
VT36872,chr3R,1342318,1344505,2187,correct,0,NA,NA,NA,NA,NA,NA
VT36873,chr3R,1343959,1346042,2083,correct,0,NA,NA,NA,visceral_muscle_primordium_subset;1,visceral_muscle_subset;1,NA
VT36874,chr3R,1345550,1347651,2101,correct,0,NA,NA,NA,NA,NA,NA
VT36875,chr3R,1347177,1349364,2187,correct,0,NA,NA,NA,NA,NA,ventral_nerve_cord_broad;1
VT36876,chr3R,1348772,1350864,2092,correct,0,NA,NA,NA,NA,NA,NA
VT36882,chr3R,1362209,1363516,1307,correct,0,NA,NA,NA,NA,NA,NA
VT36976,chr3R,1540842,1541551,709,correct,0,NA,NA,NA,NA,NA,NA
VT36977,chr3R,1542172,1543013,841,correct,0,NA,NA,NA,brain_primordium_broad;1|anterior_ventral_nerve_cord_broad;1,brain_broad;1|anterior_ventral_nerve_cord_broad;1,NA
VT36978,chr3R,1542997,1545699,2702,correct,0,NA,NA,NA,NA,NA,NA
VT36980,chr3R,1546647,1548740,2093,correct,1,procephalic_ectoderm_AISN;3,procephalic_ectoderm_anlage;3,brain_anlage_subset;2|ventral_nerve_cord_anlage_subset;3,brain_primordium_subset;2|ventral_nerve_cord_primordium_subset;3,ventral_nerve_cord_subset;3|brain_subset;3,ventral_nerve_cord_subset;2|brain_subset;2
VT36981,chr3R,1548317,1550493,2176,correct,1,procephalic_ectoderm_AISN;2,NA,brain_anlage_subset;3|ventral_nerve_cord_anlage_subset;2,brain_primordium_subset;4|ventral_nerve_cord_primordium_subset;3,brain_subset;4,brain_subset;4
VT36983,chr3R,1551832,1553920,2088,correct,1,NA,mesectoderm_anlage;2,head_subset;2,brain_primordium_broad;2|ventral_nerve_cord_primordium_broad;2,brain_broad;2|ventral_nerve_cord_broad;2,brain_broad;1|anterior_ventral_nerve_cord_broad;1
VT36986,chr3R,1556604,1559280,2676,correct,0,NA,NA,NA,NA,NA,NA
VT36989,chr3R,1568135,1568264,129,correct,0,NA,NA,NA,NA,NA,NA
VT37023,chr3R,1633963,1635102,1139,correct,0,NA,NA,NA,NA,NA,NA
VT37078,chr3R,1746806,1749048,2242,correct,1,NA,NA,NA,NA,brain_subset;2,ventral_nerve_cord_subset;2|brain_subset;3
VT37080,chr3R,1750450,1752569,2119,correct,0,NA,NA,NA,NA,NA,NA
VT37191,chr3R,1963626,1965817,2191,not_verified,0,NA,NA,NA,NA,brain_broad;1|ventral_nerve_cord_broad;1,brain_broad;1|ventral_nerve_cord_broad;1
VT37210,chr3R,2010335,2010783,448,correct,0,NA,NA,NA,NA,NA,NA
VT37211,chr3R,2011095,2013158,2063,not_verified,0,NA,NA,NA,NA,NA,NA
VT37212,chr3R,2013119,2015207,2088,correct,0,NA,NA,NA,NA,NA,NA
VT37213,chr3R,2014393,2016567,2174,correct,1,NA,NA,NA,NA,head_subset;2,head_subset;2
VT37214,chr3R,2015711,2017809,2098,correct,1,NA,NA,NA,NA,NA,head_subset;2
VT37215,chr3R,2018010,2019058,1048,correct,0,NA,NA,NA,NA,NA,NA
VT37216,chr3R,2021022,2022647,1625,correct,1,NA,NA,NA,NA,NA,hindgut;3|proventriculus;3|esophagus;3
VT37220,chr3R,2028100,2030229,2129,correct,1,NA,NA,NA,NA,head_subset;1,head_subset;1|ventral_nerve_cord_subset;1|esophagus;3
VT37221,chr3R,2030748,2031826,1078,not_verified,0,NA,NA,NA,NA,NA,NA
VT37222,chr3R,2031802,2032835,1033,correct,0,NA,NA,NA,NA,NA,NA
VT37223,chr3R,2033360,2034891,1531,correct,0,NA,NA,NA,NA,NA,NA
VT37411,chr3R,2389070,2391212,2142,correct,1,NA,NA,NA,NA,head_epidermis_dorsal_subset;2,brain_subset;2
VT37412,chr3R,2390760,2393011,2251,correct,1,NA,NA,NA,brain_primordium_subset;1|ventral_nerve_cord_primordium_subset;2,ventral_nerve_cord_subset;2|brain_subset;1,ventral_nerve_cord_subset;2|brain_subset;1
VT37413,chr3R,2392508,2394666,2158,correct,1,NA,NA,brain_anlage_subset;1|ventral_nerve_cord_anlage_subset;3,brain_primordium_subset;1|ventral_nerve_cord_primordium_subset;3,ventral_nerve_cord_subset;3|brain_subset;1,anterior_ventral_nerve_cord_subset;3
VT37425,chr3R,2413964,2416027,2063,correct,0,NA,NA,NA,NA,NA,NA
VT37466,chr3R,2488662,2490888,2226,correct,1,A-P_stripes;2|anterior_endoderm_AISN;3|anterior;2|head_mesoderm_AISN;3,procephalic_ectoderm_anlage;3|hypopharynx_anlage;3,posterior_midgut_anlage;2,ventral_nerve_cord_primordium_subset;1|posterior_midgut_primordium;2,midgut_subset;3,midgut_chamber;3
VT37467,chr3R,2490395,2492557,2162,correct,1,NA,NA,NA,NA,amnioserosa;2|midgut_interstitial_cell;2,midgut_interstitial_cell;3
VT37468,chr3R,2492009,2494238,2229,correct,1,NA,posterior_endoderm_anlage;3,head_epidermis_ventral_anlage;2,hypopharynx_primordium;3,head_subset;3|yolk;1,head_subset;3
VT37470,chr3R,2495526,2497716,2190,correct,1,NA,NA,NA,antenno-maxillary-labial_complex;1|hindgut_proper_primordium;1,NA,head_subset;2
VT37471,chr3R,2497316,2499521,2205,correct,1,NA,NA,NA,head_epidermis_lateral_primordium_subset;3,head_epidermis_dorsal_subset;3,head_epidermis_dorsal_subset;3
VT37472,chr3R,2499020,2501209,2189,correct,1,NA,NA,NA,NA,head_subset;1,head_subset;3
