VTID,Chrosome,Start,End,Length,Verification Status,Positive,stg4_6,stg7_8,stg9_10,stg11_12,stg13_14,stg15_16
VT23459,chr3L,368837,371152,2315,correct,0,NA,NA,NA,NA,NA,NA
VT23460,chr3L,370964,373272,2308,correct,0,NA,NA,NA,NA,ventral_epidermis_subset;1,ventral_epidermis_subset;1
VT23462,chr3L,373888,375960,2072,correct,1,NA,NA,brain_anlage_subset;3|ventral_nerve_cord_anlage_subset;1|salivary_gland_anlage;5,brain_primordium_subset;3|salivary_gland_primordium;5,head_epidermis_ventral_subset;4|salivary_gland_common_duct;4,head_subset;4|salivary_gland_common_duct;4
VT23463,chr3L,375111,377456,2345,correct,0,NA,NA,NA,NA,NA,NA
VT23465,chr3L,379239,381317,2078,not_verified,1,NA,NA,tracheal_system_anlage;3,NA,ventral_epidermis_subset;2,head_epidermis_subset;3
VT23466,chr3L,380819,383010,2191,correct,1,NA,NA,NA,posterior_spiracle_specific_anlage;2,head_subset;3|lateral_epidermis_subset;2|posterior_spiracle;3,lateral_epidermis_subset;3|proventriculus;3|malpighian_tubule;3
VT23467,chr3L,382470,384588,2118,correct,0,NA,NA,NA,NA,malpighian_tubule;1,NA
VT23470,chr3L,387387,389523,2136,correct,0,NA,NA,NA,NA,brain_subset;1|anterior_ventral_nerve_cord_subset;1,NA
VT23471,chr3L,389099,391197,2098,correct,0,NA,NA,NA,NA,NA,NA
VT23472,chr3L,390677,392857,2180,correct,1,NA,NA,NA,NA,NA,anal_pad;4
VT23490,chr3L,429373,431516,2143,correct,1,mesectoderm_AISN;3,head_mesoderm_anlage;3,NA,brain_primordium_subset;3,ventral_nerve_cord_subset;2|brain_subset;3,ventral_nerve_cord_subset;3|brain_subset;3
VT23552,chr3L,542461,544728,2267,correct,1,ubiquitous;3,ubiquitous;3,ubiquitous;4,ubiquitous;4,ubiquitous;4,ubiquitous;4
VT23553,chr3L,542876,543113,237,not_verified,0,NA,NA,NA,NA,NA,brain_broad;1|ventral_nerve_cord_broad;1
VT23554,chr3L,544317,546422,2105,correct,0,NA,NA,NA,NA,NA,head_epidermis_dorsal_subset;1
VT23555,chr3L,545992,548133,2141,correct,1,NA,NA,NA,head_subset;2,NA,NA
VT23556,chr3L,547671,549793,2122,not_verified,1,NA,NA,yolk;3|amnioserosa_anlage;3,NA,ventral_nerve_cord_subset;3|brain_subset;3|dorsal_epidermis_subset;3|posterior_spiracle;3,trunk_epidermis_broad;4|head_epidermis_subset;4|posterior_spiracle;3
VT23557,chr3L,549321,551551,2230,correct,1,NA,NA,NA,NA,anal_pad;3|lateral_epidermis_broad;2|dorsal_epidermis_broad;2,pharynx;4|hindgut;2|head_epidermis_subset;3|anal_pad;4|lateral_epidermis_broad;4|dorsal_epidermis_broad;4
VT23559,chr3L,552656,554858,2202,correct,1,NA,NA,NA,NA,NA,head_subset;2|anal_pad;3
VT23560,chr3L,554369,556574,2205,correct,1,NA,NA,NA,ventral_nerve_cord_primordium_broad;2,brain_broad;2|ventral_nerve_cord_broad;2,brain_broad;1|ventral_nerve_cord_broad;1
VT23561,chr3L,556045,558157,2112,correct,0,NA,NA,NA,NA,NA,NA
VT23563,chr3L,559282,561596,2314,correct,1,NA,NA,yolk;2,yolk;3,head_subset;1|yolk;4,midgut_chamber;3|yolk;4
VT23564,chr3L,561070,563286,2216,correct,1,NA,NA,head_mesoderm_anlage;1,posterior_midgut_primordium;1,brain_subset;1|midgut_subset;1,pharynx;3
VT23565,chr3L,562700,564874,2174,correct,1,NA,NA,NA,NA,lateral_epidermis_subset;1,antenno-maxillary-labial_complex;4|head_subset;4|lateral_epidermis_subset;2|pharynx;4
VT23615,chr3L,659697,661802,2105,correct,0,NA,NA,NA,NA,NA,NA
VT23724,chr3L,853331,854679,1348,correct,0,NA,NA,NA,NA,NA,NA
VT23728,chr3L,866438,868098,1660,correct,0,NA,NA,NA,NA,NA,NA
VT23745,chr3L,912295,914123,1828,correct,1,NA,NA,NA,NA,brain_broad;2|ventral_nerve_cord_broad;2,brain_broad;1|ventral_nerve_cord_broad;1
VT23746,chr3L,914052,916170,2118,not_verified,1,NA,NA,NA,brain_primordium_broad;1|anterior_ventral_nerve_cord_broad;1,brain_broad;3|ventral_nerve_cord_broad;3,brain_broad;3|ventral_nerve_cord_broad;3
VT23747,chr3L,915514,917724,2210,correct,0,NA,NA,NA,NA,ventral_nerve_cord_subset;1|brain_subset;1,ventral_nerve_cord_subset;1|brain_subset;1
VT23749,chr3L,918655,920745,2090,correct,1,mesoderm_AISN;3,head_mesoderm_anlage;3|trunk_mesoderm_anlage_broad;2,NA,NA,NA,NA
VT23750,chr3L,920171,922274,2103,correct,0,NA,NA,NA,NA,NA,NA
VT23751,chr3L,921648,923795,2147,correct,0,NA,NA,NA,NA,NA,NA
VT23753,chr3L,932529,934769,2240,correct,0,NA,NA,NA,NA,NA,NA
VT23754,chr3L,934295,936460,2165,not_verified,0,NA,NA,NA,NA,NA,NA
VT23755,chr3L,936067,938271,2204,correct,0,NA,NA,NA,NA,NA,NA
