geneID	Chr	ATAC_Start	ATAC_End	ATAC_factor	ATAC_direction	ATAC_Time	ATAC_Gd7	ATAC_Toll10b	ATAC_Toll9	PRO_Time	PRO_Gd7	PRO_Toll10b	PRO_Toll9	CBP_Gd7	CBP_Toll10b	CBP_Toll9	K27ac_geneID	K27ac_Gd7	K27ac_Toll10b	K27ac_Toll9	enhancerID	insituID
Region54	chr2L	18442	18705	Gd7	Down	0.484293977945286	-1.72511190911402	1.67207559027441	-0.0511954680070521	0.511743241646802	-0.00447564026894063	0.797790183211224	-0.588355544597988	-1.71523967892354	1.7946766297055	0.253709332082303	Region1	-0.651803224523698	1.03540250159752	-0.567470590350509	NA	region 6896
Region54	chr2L	18442	18705	Gd7	Down	0.484293977945286	-1.72511190911402	1.67207559027441	-0.0511954680070521	0.511743241646802	-0.00447564026894063	0.797790183211224	-0.588355544597988	-1.71523967892354	1.7946766297055	0.253709332082303	Region1	-0.651803224523698	1.03540250159752	-0.567470590350509	NA	region 6897
Region55	chr2L	27035	27519	Time	Down	-1.78117433716247	0.86032550055616	-1.03577674417018	0.313384739990491	-4.14903576277666	1.11760120037113	-1.90122116290616	0.418145911962778	0.594529634194259	-0.895789192031403	0.278347797575174	Region3	1.21298871631233	-0.219887267412629	-0.857662469932014	NA	region 6902
Region55	chr2L	27035	27519	Time	Down	-1.78117433716247	0.86032550055616	-1.03577674417018	0.313384739990491	-4.14903576277666	1.11760120037113	-1.90122116290616	0.418145911962778	0.594529634194259	-0.895789192031403	0.278347797575174	Region4	1.01261128436612	-0.6219088547716	-0.224546553515156	NA	region 6902
Region56	chr2L	28009	29052	Toll10b	Down	-1.58105520089969	1.53804743694947	-2.44249803771083	1.40254886269862	-2.59723767699369	0.540197038974602	-2.34556532178507	1.2613197265297	1.07167595768528	-1.78414342656264	0.728461084368706	Region4	1.01261128436612	-0.6219088547716	-0.224546553515156	NA	NA
Region58	chr2L	66674	67518	Toll9	Down	0.180741673139023	0.302872248350237	0.187141533147139	-0.67635672726166	0.620763278091968	-0.31474255965051	0.987771937000785	-0.453610559817524	0.305975732559341	-0.133403440180077	-0.295149441913284	Region7	-0.62429784742599	0.78124876221573	-0.30757295609396	NA	NA
Region61	chr2L	91221	91973	Time	Down	-2.75947601298476	2.18453016286647	-0.498056020847672	-2.24385150430051	-1.23749431806712	2.81254816477009	-0.0471032877050117	-2.46513915292944	3.56952909647206	-2.52060278531388	-2.15282952061508	Region8	3.22634859960356	2.08974456030251	-5.27978483480492	NA	NA
Region62	chr2L	102167	102646	Gd7	Up	-0.422524928378467	0.942114259699651	-0.287012664350962	-0.864735381395128	0.255565987637223	0.702023641903359	-0.401236772939492	-0.326132623234714	0.28818662012963	0.383863566489305	-0.959795418483206	Region10	-0.127171300907262	0.458613989428409	-0.398395500126081	NA	NA
Region63	chr2L	107736	108386	Toll9	Down	0.00665811598685353	0.284054228257287	0.300481103570865	-0.812500874412355	0.484307110458941	0.00973777884992144	0.774403312954761	-0.583626031681886	-0.269109530108559	0.10492780127973	0.276183775221023	Region12	-0.184203859035794	1.154398556035	-1.12653381869766	NA	NA
Region64	chr2L	114532	114855	Time	Down	-1.23930464852848	0.527642375265752	-0.324832101150792	-0.250363669244856	-0.0993948628547686	1.49070981547801	-0.0588046979401413	-1.28145135548032	0.03195358754447	0.421817765731251	-0.61392386319605	Region13	-0.0610073248531477	1.21794710888824	-1.30992468627764	NA	NA
