geneID	Chr	ATAC_Start	ATAC_End	ATAC_factor	ATAC_direction	enhancerID	insituID	Enhancer_Gd7	Enhancer_Toll10b	Enhancer_Toll9	Enhancer_Time
Region61	chr2L	91221	91973	Time	Down	None	None	11.7929560237122	-0.976017533564054	-12.14160501265	-3.99697033105188
Region62	chr2L	102167	102646	Gd7	Up	None	None	1.80515322082538	0.15422811862726	-2.54905892323913	-0.166958940741244
Region63	chr2L	107736	108386	Toll9	Down	None	None	-0.159521382037145	2.33421077384036	-2.24647694957088	0.490965226445794
Region64	chr2L	114532	114855	Time	Down	None	None	1.98929845343508	1.25612807552856	-3.45566357419887	-1.33869951138325
Region70	chr2L	207184	207645	Time	Down	None	None	1.24774797675553	-0.959061512291498	-0.234365286348338	-0.464062504316405
Region71	chr2L	220420	220886	Time	Up	None	None	0.878707339370941	-1.64140243250046	0.674408756257858	-0.363464481441843
Region71	chr2L	220420	220886	Time	Up	None	None	0.299407005338741	-1.50912107790819	1.05344215008092	-0.363464481441843
Region72	chr2L	221620	224740	Time	Down	None	None	-0.0632976550794604	-0.645020342394692	0.565794896922672	-0.943440229593058
Region72	chr2L	221620	224740	Time	Down	None	None	0.501972983952625	-0.222539850624863	-0.422419470388791	-0.943440229593058
Region97	chr2L	421221	421676	Time	Up	None	None	0.649247392675799	0.5271922843919	-0.97564448338431	0.403135935777564
Region98	chr2L	430887	431959	Toll10b	Down	None	None	0.126535906733036	-0.111203973716401	-0.0561854526217287	0.624789823022923
Region99	chr2L	441747	442435	Toll10b	Down	region 5	None	5.9241427753912	-7.38565762569759	2.60821189137674	0.0760254501869782
Region100	chr2L	452821	453223	Time	Up	None	None	-1.63102179923922	1.53446001608443	0.201474232197734	1.67111919972188
Region100	chr2L	452821	453223	Time	Up	None	None	-1.34706294292116	1.25930991707709	0.251462056400211	1.67111919972188
Region121	chr2L	567809	568169	Toll9	Down	None	None	-0.989608022301459	1.68370997522382	-0.734997532102549	-0.586973782473311
Region122	chr2L	573971	574721	Time	Up	None	None	-1.89039683663962	-1.38268240592829	3.38864819087157	0.396093682981687
Region195	chr2L	1679113	1679464	Toll9	Down	None	None	3.32145631682644	-1.04204672232077	-2.88837118273899	-0.83126973319798
Region196	chr2L	1679686	1680314	Gd7	Up	None	None	7.37674038947287	-5.14906028462861	-3.43967520141125	-2.10164607818879
