chr2L	23011544	2782073	0
chr2LHet	368872	9681	0
chr2R	21146708	2022778	0
chr2RHet	3288761	94416	0
chr3L	24543557	1704841	0
chr3LHet	2555491	95730	0
chr3R	27905053	2170628	0
chr3RHet	2517507	63822	0
chr4	1351857	120733	0
chrM	19517	569056	0
chrX	22422827	1229318	0
chrXHet	204112	1272714	0
chrYHet	347038	8582	0
1	195471971	354822	0
10	130694993	250049	0
11	122082543	243173	0
12	120129022	216040	0
13	120421639	223375	0
14	124902244	225968	0
15	104043685	190863	0
16	98207768	182103	0
17	94987271	224639	0
18	90702639	167392	0
19	61431566	118875	0
2	182113224	334366	0
3	160039680	296436	0
4	156508116	283767	0
5	151834684	279893	0
6	149736546	300651	0
7	145441459	267932	0
8	129401213	244143	0
9	124595110	252945	0
MT	16299	2308	0
X	171031299	271259	0
Y	91744698	148484	0
JH584295.1	1976	13	0
JH584292.1	14945	39	0
GL456368.1	20208	33	0
GL456396.1	21240	47	0
GL456359.1	22974	35	0
GL456382.1	23158	27	0
GL456392.1	23629	43	0
GL456394.1	24323	38	0
GL456390.1	24668	26	0
GL456387.1	24685	23	0
GL456381.1	25871	46	0
GL456370.1	26764	70	0
GL456372.1	28664	34	0
GL456389.1	28772	46	0
GL456378.1	31602	61	0
GL456360.1	31704	58	0
GL456385.1	35240	53	0
GL456383.1	38659	73	0
GL456213.1	39340	93	0
GL456239.1	40056	78	0
GL456367.1	42057	66	0
GL456366.1	47073	104	0
GL456393.1	55711	87	0
GL456216.1	66673	135	0
GL456379.1	72385	107	0
JH584304.1	114452	274	0
GL456212.1	153618	706	0
JH584302.1	155838	218	0
JH584303.1	158099	203	0
GL456210.1	169725	256	0
GL456219.1	175968	241	0
JH584300.1	182347	237	0
JH584298.1	184189	263	0
JH584294.1	191905	343	0
GL456354.1	195993	227	0
JH584296.1	199368	322	0
JH584297.1	205776	320	0
GL456221.1	206961	351	0
JH584293.1	207968	346	0
GL456350.1	227966	387	0
GL456211.1	241735	323	0
JH584301.1	259875	1200	0
GL456233.1	336933	491	0
JH584299.1	953012	1456	0
*	0	0	5293011
