chr2L	23011544	2537835	0
chr2LHet	368872	7809	0
chr2R	21146708	1850742	0
chr2RHet	3288761	74165	0
chr3L	24543557	1609690	0
chr3LHet	2555491	64952	0
chr3R	27905053	2022118	0
chr3RHet	2517507	49140	0
chr4	1351857	91307	0
chrM	19517	208398	0
chrX	22422827	1263231	0
chrXHet	204112	925589	0
chrYHet	347038	4276	0
1	195471971	362074	0
10	130694993	252484	0
11	122082543	260440	0
12	120129022	217877	0
13	120421639	228453	0
14	124902244	228404	0
15	104043685	196079	0
16	98207768	185432	0
17	94987271	226196	0
18	90702639	170060	0
19	61431566	124538	0
2	182113224	343852	0
3	160039680	305692	0
4	156508116	287224	0
5	151834684	287652	0
6	149736546	291439	0
7	145441459	282791	0
8	129401213	251357	0
9	124595110	253053	0
MT	16299	3546	0
X	171031299	271320	0
Y	91744698	126972	0
JH584295.1	1976	16	0
JH584292.1	14945	30	0
GL456368.1	20208	40	0
GL456396.1	21240	38	0
GL456359.1	22974	29	0
GL456382.1	23158	29	0
GL456392.1	23629	55	0
GL456394.1	24323	40	0
GL456390.1	24668	28	0
GL456387.1	24685	36	0
GL456381.1	25871	33	0
GL456370.1	26764	62	0
GL456372.1	28664	26	0
GL456389.1	28772	41	0
GL456378.1	31602	66	0
GL456360.1	31704	56	0
GL456385.1	35240	52	0
GL456383.1	38659	70	0
GL456213.1	39340	64	0
GL456239.1	40056	96	0
GL456367.1	42057	82	0
GL456366.1	47073	85	0
GL456393.1	55711	92	0
GL456216.1	66673	168	0
GL456379.1	72385	118	0
JH584304.1	114452	327	0
GL456212.1	153618	1035	0
JH584302.1	155838	191	0
JH584303.1	158099	204	0
GL456210.1	169725	255	0
GL456219.1	175968	247	0
JH584300.1	182347	245	0
JH584298.1	184189	237	0
JH584294.1	191905	349	0
GL456354.1	195993	250	0
JH584296.1	199368	288	0
JH584297.1	205776	386	0
GL456221.1	206961	304	0
JH584293.1	207968	385	0
GL456350.1	227966	377	0
GL456211.1	241735	400	0
JH584301.1	259875	618	0
GL456233.1	336933	456	0
JH584299.1	953012	1393	0
*	0	0	5203896
