SYMBOL	PC1	PC2	PC3	distance
GstE14	-0.0474892621859799	-0.0101043202484452	0.0118448664608312	0.0499762760930305
Kank	-0.00361454132871919	-0.00420600757524588	0.0492282174839496	0.0495396084500785
svp	0.0212416841770966	0.0272227026946242	-0.0350011366573443	0.0491666986484297
bbg	0.00131146693916889	-0.0410960514373422	0.0263952951341728	0.0488601780030865
tw	0.022980944326841	-0.0423100780930844	0.00315376772042732	0.0482515570860742
Sep5	-0.0476217548599928	0.00304890451055922	0.00593265285632228	0.0480866272946376
Nrt	-0.0448805420357367	0.0135763827384916	-0.00989154964973034	0.0479210181043415
CG6891	0.0164228295215531	-0.0262205699999591	0.0364127427310847	0.0477819574088056
CG31131	-0.0431897305743327	-0.0154523314262309	0.0130550982977441	0.0477433906284636
CG31253	-0.0431897305743327	-0.0154523314262309	0.0130550982977441	0.0477433906284636
CG15646	0.0160097341662628	0.0243403698767993	-0.0377922681067554	0.0477181382963196
ems	-0.0107596976620426	0.0046240769570014	-0.0459464377519253	0.047415486115555
bnb	-0.0471013333498652	0.000817752985910251	-0.00465474307487291	0.0473378385266392
CG9650	0.0314264084808195	0.0244589188544037	-0.0251294506841495	0.0470887157737046
spn-E	-0.014902663606928	-0.0367163549310572	-0.024374266241987	0.0465218761104912
CG14291	0.0149019729128374	-0.0300482622175981	0.0322345123144544	0.0465191427601927
slp2	0.0148643845913915	0.017996189687233	-0.0402351880718326	0.0465154074658645
5-HT2A	-0.035513890253441	-0.0147806326508021	-0.0260746969023292	0.0464714247795324
lbk	0.012692784148454	0.0234263911804329	-0.0380454248011422	0.0464473564530564
Act87E	0.0121761607738647	0.0390036651219722	0.0214868071936098	0.0461652214065232
CG7120	0.0110780479339308	0.0446802108219972	0.00143986685031089	0.0460555925124323
prage	-0.0453068462157578	0.000524290669118463	0.00777522257683997	0.0459721576700883
CG32407	0.0283708530354145	0.0236260139545802	0.0273146347196788	0.0459258435655633
dally	0.0169567134757481	-0.0061552165169544	-0.0418996857967469	0.0456179843059217
CG31687	-0.0177378282851958	0.0239092197769565	0.0344626687068363	0.0455407166941305
phu	-0.0215036554100023	-0.0229599555535644	0.0328980335177426	0.045517550069707
E(spl)m3-HLH	0.030064625272528	0.022257445180106	-0.0258115102085186	0.0454478780359151
grnd	-0.0236424942397974	-0.0340386195181183	-0.0177308413038382	0.0450774653892604
dnr1	0.0197689967412497	0.0338274061037165	-0.0221297392005683	0.0449981332162398
ImpL2	0.0118111516720077	0.0201350283727864	-0.0377885423483013	0.0444173007307
rst	0.014640674166061	0.00309128542267301	0.0417569686433571	0.0443570717685862
h	-0.041697752266031	0.011957721435822	-0.00921272544356666	0.0443459576069178
CG12708	0.0132217717296862	0.0222846513751552	-0.0359111297246331	0.0442835203284875
CG13689	0.00590432966029005	0.0317663137955328	-0.0296171619161299	0.0438307663731755
mod	0.00926531159385719	0.00517655762856496	0.0422953031051178	0.0436065982686899
Optix	0.00876930357080097	-0.0412500227447063	-0.00881713770357726	0.0430837205779572
CG15382	-0.0406341440937839	0.00699849606785869	-0.0120496584730904	0.0429570353116267
cas	0.0110049629485177	0.0360240575790283	-0.0204304396977322	0.0428514270497269
Myc	0.0172391880072225	0.0216729771923807	0.0325072130775513	0.0427039394622925
Lac	-0.0319245096027032	-0.024544676011162	-0.0140896080814301	0.0426630107910154
CG14891	0.0142195891830437	-0.0400269416077973	-0.00240651518652867	0.0425457881152946
so	0.00225191433780495	-0.0269041392919292	0.032754472749243	0.0424471355253242
Jhedup	-0.0021319058371422	0.0412244957043606	-0.00979674657873686	0.042426174846494
RhoU	-0.00739825493894237	0.00884007837330104	-0.0405794643835498	0.042184998417014
MP1	0.00697838201074832	-0.000597082136977548	-0.0413758925587084	0.0419644946067031
CG12645	0.00306040894039794	0.0128738822142963	-0.0397465801886542	0.0418914499969047
mael	-0.0064486635706361	0.0303330433560971	0.028067728725262	0.0418267399743874
Esp	0.0275875855671794	-0.017035868039961	-0.0262701326160475	0.0417302713262942
mino	-0.0243339246282005	-0.011434729498532	0.0318180814320087	0.0416567309390628
byn	-0.0342320303896368	-0.0188985426595637	-0.0141168270064247	0.0415724863820014
ds	0.0268000644864669	-0.019562253541518	-0.0249893979319988	0.0415378770413849
CenG1A	0.0230029968382173	0.00860136081975038	-0.0334779806137633	0.0415198320982405
Toll-7	0.031792980323031	0.0242007968896383	-0.0110196637479427	0.0414476194374525
gt	-0.0363759961545354	0.0148311074112242	-0.0122894248047472	0.0411607192030166
wech	-0.0315392224714171	0.00541859344777549	-0.0255919227799153	0.0409759712591046
pyr	0.00489007941340126	0.0224764867140608	-0.0338198953012692	0.0409009859277931
CG31002	0.0341997269717829	0.0201206550475872	0.00989178936662297	0.0408938819551546
glec	0.0273662034764127	-0.00169308713438365	0.0301482888318506	0.0407516251976007
tex	-0.0349634057342438	-0.0107539503685537	0.0177825465701791	0.0406731625471545
HGTX	0.0187106085565394	0.0360093517056155	-0.00178892184625437	0.0406197061066026
mira	-0.0290519368251608	0.0145860544649915	-0.0240597688514662	0.0404430524977383
Notum	0.00166804408583479	0.0236448691158548	-0.0326410606034932	0.040339819581886
CG2915	-0.039833778757431	0.00584467179934153	0.00130235906623374	0.0402813388267493
yellow-e3	-0.0178421964532304	-0.0222454573268625	-0.0283099411267108	0.0401827962261807
ovo	0.0235939099913945	-0.0245497048146546	-0.0212269121519297	0.0401240874622021
CG5059	-0.0219409398554196	-0.0132055256556185	-0.030769094407719	0.0400315865317809
CG42342	0.00480479585582093	-0.0393778550664589	0.00182211992381955	0.0397117319424365
crb	-0.0351961620294345	-0.0118823822036282	-0.0138502310460499	0.0396458034155479
insb	0.0271478552296132	0.0177882341681508	-0.021853083239553	0.0391277978611605
tio	0.018514375233039	-0.00894685762383148	-0.032915670647256	0.0388106908695209
pit	-0.0109787951104629	-0.0194065852845121	0.0317591506327619	0.0388045505501226
wake	-0.0356347737990024	-0.0152332352995951	0.000876473019281187	0.0387641169943599
CG5167	-0.0104140522896056	-0.0352021304968303	0.0119831128236531	0.0386165439876604
Pvf3	0.0184416754434609	-0.019199146422278	0.0277965260721015	0.0384883031346282
CG8066	-0.026706389519034	0.0125908333156581	-0.0246879095899369	0.0384870524286539
CHES-1-like	0.0261918358022635	0.0210819182269651	0.0179931445642308	0.0381341420531586
emc	0.00586965038101402	-0.013873784244755	0.0350265004594778	0.0381286036893976
Atg17	-0.0379216265152377	0.0036689941795947	-0.000872439504736193	0.0381086922701436
wb	0.00212088714584388	0.0209900813909034	-0.0313728731268872	0.0378065979336665
Aatf	-0.0140612676416862	0.0217967183706943	0.0273333160550793	0.0376819100629115
nvy	0.01764728572654	0.0303769282997458	-0.0135531893572524	0.0376546598470306
Maf1	0.00532118431782754	-0.0167483089527565	-0.0332783427975502	0.0376333489696644
Tet	0.025490794991031	0.00760340079980807	-0.0265458539695411	0.0375802434261607
Xrp1	0.00414326178485164	-0.0140874445325362	0.0345096236301807	0.0375038242686239
wg	0.00686045373110999	0.00992700806249461	-0.0353735464103863	0.0373751133793236
Lapsyn	-0.0370145075290267	0.00497685829431912	0.00112679280874382	0.0373645894950278
inv	0.0237315386332155	0.00251669657250661	-0.0287156721137956	0.0373377759445428
