"ENSEMBL"	"ENTREZID"	"SYMBOL"
"FBgn0267431"	"26067052"	"Myo81F"
"FBgn0010247"	"3355109"	"Parp"
"FBgn0086378"	"3355106"	"Alg-2"
"FBgn0263977"	"3355107"	"Tim17b"
"FBgn0069923"	"3355108"	"CG41128"
"FBgn0039955"	"3355072"	"CG41099"
"FBgn0259821"	"7354470"	"CG42402"
"FBgn0027341"	"3354921"	"Gfat1"
"FBgn0037213"	"40522"	"CG12581"
"FBgn0037215"	"40524"	"beta-Man"
"FBgn0037217"	"40526"	"CG14636"
"FBgn0037218"	"40527"	"aux"
"FBgn0261436"	"40528"	"DhpD"
"FBgn0037220"	"40529"	"CG14641"
"FBgn0015331"	"40530"	"abs"
"FBgn0010225"	"46008"	"Gel"
"FBgn0037222"	"40532"	"CG14642"
"FBgn0037224"	"40534"	"TwdlF"
"FBgn0037225"	"40535"	"TwdlG"
"FBgn0250821"	"40536"	"CG14644"
"FBgn0037230"	"40540"	"CG9780"
"FBgn0037231"	"40542"	"Vps24"
"FBgn0027930"	"40541"	"MP1"
"FBgn0037232"	"40543"	"Suv3"
"FBgn0261086"	"40544"	"Syt14"
"FBgn0037234"	"40545"	"CG9795"
"FBgn0027866"	"40546"	"CG9776"
"FBgn0037236"	"40548"	"Skp2"
"FBgn0037235"	"40547"	"CG1103"
"FBgn0261434"	"40549"	"hkb"
"FBgn0037238"	"40551"	"CG1090"
"FBgn0037239"	"40552"	"Sfxn1-3"
"FBgn0037240"	"40553"	"Cont"
"FBgn0003882"	"40554"	"tub"
"FBgn0037241"	"40555"	"CG14646"
"FBgn0037242"	"40556"	"CG9855"
"FBgn0086605"	"40557"	"CG9853"
"FBgn0037244"	"40558"	"CG14647"
"FBgn0263594"	"40559"	"lost"
"FBgn0052944"	"40560"	"CG32944"
"FBgn0051528"	"318785"	"CG31528"
"FBgn0037248"	"40562"	"srl"
"FBgn0037249"	"40563"	"eIF3a"
"FBgn0037250"	"40564"	"CG1074"
"FBgn0037251"	"40565"	"CG9804"
"FBgn0037252"	"40566"	"CG14650"
"FBgn0051522"	"40567"	"CG31522"
"FBgn0051523"	"326148"	"CG31523"
"FBgn0037254"	"40568"	"CG14651"
"FBgn0037255"	"40569"	"Fip1"
"FBgn0085386"	"5740349"	"CG34357"
"FBgn0052945"	"318261"	"CG32945"
"FBgn0087012"	"40575"	"5-HT2A"
"FBgn0037261"	"40576"	"CG9775"
"FBgn0037262"	"40577"	"MED31"
"FBgn0037263"	"40578"	"slx1"
"FBgn0040466"	"40579"	"Dlip2"
"FBgn0022981"	"40580"	"rpk"
"FBgn0087013"	"40581"	"Karybeta3"
"FBgn0037265"	"40582"	"spartin"
"FBgn0263346"	"40583"	"CG43427"
"FBgn0037270"	"40587"	"eIF3f1"
"FBgn0027570"	"40588"	"Nep2"
"FBgn0026620"	"40589"	"tacc"
"FBgn0010750"	"40593"	"atms"
"FBgn0264907"	"40590"	"CG44098"
"FBgn0037275"	"40594"	"CG14655"
"FBgn0037276"	"40595"	"CG17387"
"FBgn0260794"	"40596"	"ctrip"
"FBgn0026417"	"40598"	"Hus1-like"
"FBgn0037279"	"40599"	"CG1129"
"FBgn0037280"	"40600"	"CG1126"
"FBgn0037282"	"40602"	"CG14657"
"FBgn0003002"	"40605"	"opa"
"FBgn0004913"	"40607"	"Gnf1"
"FBgn0265082"	"40608"	"Cdep"
"FBgn0004436"	"40610"	"Ubc6"
"FBgn0250839"	"40612"	"CG2016"
"FBgn0037291"	"40614"	"CG14662"
"FBgn0010313"	"40616"	"corto"
"FBgn0262605"	"12798230"	"CG43131"
"FBgn0037293"	"40617"	"CG12007"
"FBgn0037295"	"40619"	"dpr16"
"FBgn0259212"	"40620"	"cno"
"FBgn0037296"	"40621"	"Prosbeta2R2"
"FBgn0037297"	"40622"	"CG1116"
"FBgn0037298"	"40623"	"CG2604"
"FBgn0040682"	"12798232"	"CG14664"
"FBgn0037299"	"40624"	"Vps37B"
"FBgn0040208"	"53566"	"Kat60"
"FBgn0037301"	"40626"	"Mms19"
"FBgn0087005"	"40627"	"rtp"
"FBgn0260462"	"40628"	"CG12163"
"FBgn0053293"	"2768659"	"CG33293"
"FBgn0037305"	"40630"	"CG12173"
"FBgn0264785"	"40633"	"Hph"
"FBgn0013576"	"45467"	"mtd"
"FBgn0051538"	"318790"	"CG31538"
"FBgn0037312"	"40637"	"CG11999"
"FBgn0037313"	"40638"	"CG1161"
"FBgn0250746"	"40639"	"Prosbeta7"
"FBgn0037315"	"40640"	"Cerk"
"FBgn0051542"	"318791"	"CG31542"
"FBgn0085306"	"5740553"	"CG34277"
"FBgn0003275"	"48312"	"RpII18"
"FBgn0086695"	"40642"	"hd"
"FBgn0037317"	"40643"	"CG14667"
"FBgn0041707"	"40644"	"7B2"
"FBgn0001311"	"45884"	"kkv"
"FBgn0264712"	"40647"	"CG1172"
"FBgn0037322"	"40648"	"Or83a"
"FBgn0037324"	"40650"	"Orco"
"FBgn0037325"	"40651"	"CG12147"
"FBgn0037327"	"40653"	"PEK"
"FBgn0037328"	"40654"	"RpL35A"
"FBgn0037329"	"40655"	"POLDIP2"
"FBgn0037330"	"40656"	"mRpL44"
"FBgn0011715"	"40657"	"Snr1"
"FBgn0025825"	"44446"	"HDAC3"
"FBgn0037332"	"40659"	"Hcs"
"FBgn0015402"	"40660"	"ksr"
"FBgn0051550"	"40661"	"CG31550"
"FBgn0051547"	"40663"	"NKCC"
"FBgn0010399"	"40665"	"Nmdar1"
"FBgn0010051"	"40664"	"Itp-r83A"
"FBgn0037336"	"40666"	"CG2519"
"FBgn0014342"	"40667"	"mia"
"FBgn0086768"	"40668"	"Pcmt"
"FBgn0037338"	"40669"	"Snm1"
"FBgn0037339"	"40670"	"Pi4KIIalpha"
"FBgn0037340"	"40671"	"CG14671"
"FBgn0037341"	"40672"	"CG12746"
"FBgn0037342"	"40673"	"CG2931"
"FBgn0041191"	"117332"	"Rheb"
"FBgn0023023"	"40675"	"CRMP"
"FBgn0037344"	"40676"	"CG2926"
"FBgn0014366"	"40678"	"noi"
"FBgn0283535"	"40679"	"Vha26"
"FBgn0250753"	"40680"	"kra"
"FBgn0037347"	"40681"	"CG1427"
"FBgn0261004"	"40682"	"asl"
"FBgn0017550"	"40683"	"Rga"
"FBgn0019637"	"40684"	"Atu"
"FBgn0037350"	"40686"	"CG2911"
"FBgn0037351"	"40687"	"RpL13A"
"FBgn0051551"	"318795"	"CG31551"
"FBgn0051549"	"40689"	"CG31549"
"FBgn0037354"	"40690"	"CG12171"
"FBgn0051546"	"40691"	"CG31546"
"FBgn0051548"	"318794"	"CG31548"
"FBgn0037356"	"40692"	"CG12170"
"FBgn0027951"	"40693"	"MTA1-like"
"FBgn0262125"	"40694"	"Sec23"
"FBgn0037358"	"40695"	"elm"
"FBgn0037359"	"40696"	"MED27"
"FBgn0037360"	"40697"	"CG2182"
"FBgn0046222"	"40698"	"Wdr33"
"FBgn0010772"	"40699"	"Xe7"
"FBgn0037363"	"40700"	"Atg17"
"FBgn0037364"	"40701"	"Rab23"
"FBgn0261261"	"40704"	"plx"
"FBgn0004878"	"44018"	"cas"
"FBgn0037368"	"40706"	"CG1239"
"FBgn0037369"	"40707"	"CG2100"
"FBgn0037370"	"40708"	"CG1236"
"FBgn0037371"	"40709"	"Sym"
"FBgn0027497"	"40710"	"Madm"
"FBgn0037372"	"40711"	"CG2091"
"FBgn0266672"	"40712"	"Sec8"
"FBgn0027608"	"40713"	"CG2082"
"FBgn0037374"	"40714"	"jagn"
"FBgn0037375"	"40715"	"kat-60L1"
"FBgn0037376"	"40716"	"Hat1"
"FBgn0028690"	"40717"	"Rpn5"
"FBgn0037377"	"40718"	"CG1218"
"FBgn0037378"	"40719"	"CG2046"
"FBgn0037379"	"40720"	"CG10979"
"FBgn0037382"	"40723"	"Hpr1"
"FBgn0037383"	"40724"	"CG2023"
"FBgn0037384"	"40725"	"dgrn"
"FBgn0029088"	"44274"	"disp"
"FBgn0028436"	"40732"	"ECSIT"
"FBgn0037391"	"40733"	"CG2017"
"FBgn0083949"	"4379844"	"CG34113"
"FBgn0003261"	"40739"	"Rm62"
"FBgn0037395"	"40740"	"CG10280"
"FBgn0037398"	"40743"	"CG15580"
"FBgn0051559"	"40749"	"CG31559"
"FBgn0037405"	"40751"	"CG1077"
"FBgn0037408"	"40754"	"NPFR"
"FBgn0037410"	"40756"	"Osi2"
"FBgn0027527"	"40760"	"Osi6"
"FBgn0037427"	"40774"	"Osi17"
"FBgn0261789"	"40781"	"SmD2"
"FBgn0037435"	"40782"	"CG18048"
"FBgn0037436"	"40783"	"Hr83"
"FBgn0267698"	"44039"	"Pak"
"FBgn0261641"	"40785"	"CG42724"
"FBgn0037439"	"40786"	"CG10286"
"FBgn0037440"	"40787"	"CRAT"
"FBgn0260766"	"40788"	"CG42564"
"FBgn0027514"	"40789"	"CG1024"
"FBgn0010282"	"40790"	"TfIIFalpha"
"FBgn0037442"	"40791"	"godzilla"
"FBgn0037443"	"40792"	"Dmtn"
"FBgn0264495"	"40793"	"gpp"
"FBgn0037445"	"40794"	"CG9727"
"FBgn0037446"	"40795"	"Zif"
"FBgn0037447"	"40796"	"Neurochondrin"
"FBgn0037448"	"40797"	"CG15186"
"FBgn0250846"	"40807"	"glob2"
"FBgn0037460"	"40809"	"sowi"
"FBgn0037461"	"40810"	"CG15177"
"FBgn0010355"	"40813"	"Taf1"
"FBgn0026566"	"40814"	"CG1307"
"FBgn0262801"	"40815"	"twr"
"FBgn0024912"	"40816"	"agt"
"FBgn0002522"	"40817"	"lab"
"FBgn0051481"	"40826"	"pb"
"FBgn0004054"	"40827"	"zen2"
"FBgn0004053"	"40828"	"zen"
"FBgn0000166"	"40830"	"bcd"
"FBgn0000071"	"40831"	"Ama"
"FBgn0000439"	"40832"	"Dfd"
"FBgn0003339"	"40833"	"Scr"
"FBgn0001077"	"40834"	"ftz"
"FBgn0260642"	"40835"	"Antp"
"FBgn0024289"	"40836"	"Sodh-1"
"FBgn0026563"	"40837"	"CG1979"
"FBgn0037465"	"40841"	"CG1105"
"FBgn0037466"	"40842"	"CG1965"
"FBgn0037467"	"40843"	"Ufl1"
"FBgn0037468"	"40844"	"CG1943"
"FBgn0010774"	"44029"	"Ref1"
"FBgn0037469"	"40846"	"Dpck"
"FBgn0037470"	"40847"	"Tailor"
"FBgn0003884"	"40848"	"alphaTub84B"
"FBgn0261238"	"40850"	"Alh"
"FBgn0014863"	"40849"	"Mlp84B"
"FBgn0037472"	"40851"	"CG10098"
"FBgn0037473"	"40852"	"CG10068"
"FBgn0051248"	"40853"	"CG31248"
"FBgn0037478"	"40857"	"CG2656"
"FBgn0250732"	"40858"	"gfzf"
"FBgn0011020"	"40859"	"Sas-4"
"FBgn0037481"	"40860"	"MAGE"
"FBgn0002306"	"40861"	"sas"
"FBgn0037482"	"40862"	"CG10055"
"FBgn0086372"	"40863"	"lap"
"FBgn0037483"	"40864"	"CG14609"
"FBgn0037487"	"40868"	"thw"
"FBgn0037489"	"40870"	"CG1234"
"FBgn0037490"	"40871"	"CG10053"
"FBgn0037491"	"40872"	"CG1227"
"FBgn0037492"	"40873"	"CG10050"
"FBgn0028400"	"40876"	"Syt4"
"FBgn0267337"	"40879"	"rn"
"FBgn0051501"	"40884"	"nxf4"
"FBgn0262982"	"12798047"	"CG43290"
"FBgn0015770"	"40890"	"MstProx"
"FBgn0037504"	"40894"	"CG1142"
"FBgn0015577"	"40897"	"alpha-Est9"
"FBgn0015575"	"40901"	"alpha-Est7"
"FBgn0015574"	"40902"	"alpha-Est6"
"FBgn0015831"	"40903"	"Rtnl2"
"FBgn0003885"	"40904"	"alphaTub84D"
"FBgn0261393"	"40905"	"alpha-Est5"
"FBgn0015572"	"40906"	"alpha-Est4"
"FBgn0015571"	"40907"	"alpha-Est3"
"FBgn0015570"	"40908"	"alpha-Est2"
"FBgn0015568"	"40909"	"alpha-Est1"
"FBgn0083963"	"40912"	"Nlg3"
"FBgn0051146"	"40913"	"Nlg1"
"FBgn0037512"	"40915"	"CG2616"
"FBgn0037513"	"40916"	"pyd3"
"FBgn0042101"	"59140"	"CG18744"
"FBgn0037521"	"40924"	"CG2993"
"FBgn0051472"	"40925"	"sgll"
"FBgn0051473"	"318753"	"CG31473"
"FBgn0085413"	"5740362"	"CG34384"
"FBgn0037525"	"40928"	"CG17816"
"FBgn0037526"	"40929"	"ArgRS-m"
"FBgn0037529"	"40932"	"mRpS9"
"FBgn0260005"	"40931"	"wtrw"
"FBgn0037530"	"40933"	"EMC1"
"FBgn0024909"	"40934"	"Taf7"
"FBgn0004901"	"40935"	"Prat"
"FBgn0014930"	"40936"	"CG2846"
"FBgn0014931"	"40937"	"CG2678"
"FBgn0037531"	"40938"	"CG10445"
"FBgn0002542"	"45894"	"lds"
"FBgn0000504"	"40940"	"dsx"
"FBgn0037533"	"40941"	"CD98hc"
"FBgn0037534"	"40943"	"CG2781"
"FBgn0037535"	"40944"	"PIG-H"
"FBgn0266598"	"8674119"	"Kmn2"
"FBgn0037536"	"40945"	"CG2698"
"FBgn0037537"	"40946"	"CG2767"
"FBgn0040524"	"49997"	"CG11052"
"FBgn0037538"	"40947"	"CG3223"
"FBgn0037539"	"40948"	"CG10435"
"FBgn0037540"	"40949"	"Pbp95"
"FBgn0037541"	"40950"	"CG2747"
"FBgn0001255"	"48239"	"ImpE3"
"FBgn0037543"	"40952"	"CG10903"
"FBgn0037544"	"40953"	"CG11035"
"FBgn0010812"	"44910"	"unc-45"
"FBgn0037546"	"40955"	"mAChR-B"
"FBgn0037548"	"40957"	"CG7900"
"FBgn0243512"	"40958"	"puc"
"FBgn0037549"	"40959"	"CG7878"
"FBgn0037550"	"40960"	"CG9667"
"FBgn0037551"	"40961"	"Gie"
"FBgn0001138"	"40962"	"grn"
"FBgn0037552"	"40963"	"CG7800"
"FBgn0037553"	"40964"	"CG18249"
"FBgn0037554"	"40965"	"DNApol-iota"
"FBgn0037555"	"40966"	"Ada2b"
"FBgn0037556"	"40967"	"CG9636"
"FBgn0042182"	"3771984"	"CG18749"
"FBgn0064126"	"3772658"	"CG33722"
"FBgn0040528"	"50001"	"CG15864"
"FBgn0260386"	"40970"	"mtg"
"FBgn0010173"	"40972"	"RpA-70"
"FBgn0014861"	"40973"	"Mcm2"
"FBgn0037561"	"40974"	"CG9630"
"FBgn0010433"	"40975"	"ato"
"FBgn0037565"	"40979"	"CG9626"
"FBgn0037566"	"40980"	"mRpL1"
"FBgn0265351"	"40981"	"nac"
"FBgn0265101"	"40982"	"Sgt1"
"FBgn0037569"	"40983"	"tex"
"FBgn0037570"	"40984"	"CG11693"
"FBgn0037573"	"40987"	"CG7483"
"FBgn0037574"	"40988"	"Coq2"
"FBgn0062412"	"40989"	"Ctr1B"
"FBgn0003129"	"40990"	"Poxm"
"FBgn0040529"	"50002"	"COX7A"
"FBgn0004908"	"40993"	"Arl2"
"FBgn0037578"	"40994"	"CG9601"
"FBgn0037579"	"40995"	"COX7AL"
"FBgn0037580"	"40996"	"DppIII"
"FBgn0037581"	"40997"	"CG7352"
"FBgn0261108"	"40998"	"Atg13"
"FBgn0020249"	"40999"	"stck"
"FBgn0037583"	"41000"	"CG9684"
"FBgn0037584"	"41001"	"CG7963"
"FBgn0266801"	"50003"	"CG45263"
"FBgn0037592"	"41009"	"CG11737"
"FBgn0051454"	"318744"	"CG31454"
"FBgn0051453"	"41013"	"pch2"
"FBgn0051450"	"326141"	"mRpS18A"
"FBgn0051460"	"318747"	"CG31460"
"FBgn0266916"	"41014"	"Cenp-C"
"FBgn0261929"	"41017"	"5-HT2B"
"FBgn0037601"	"41019"	"Cyp313b1"
"FBgn0024326"	"41020"	"Mkk4"
"FBgn0037602"	"41021"	"SLIRP2"
"FBgn0000447"	"41022"	"Dhod"
"FBgn0037603"	"41023"	"CG11753"
"FBgn0259992"	"8674035"	"CG42489"
"FBgn0263231"	"45826"	"bel"
"FBgn0086679"	"41025"	"p"
"FBgn0037606"	"41026"	"CG8032"
"FBgn0037607"	"41027"	"CG8036"
"FBgn0037608"	"41028"	"mRpL19"
"FBgn0037609"	"41029"	"CG9773"
"FBgn0037610"	"41030"	"CG8043"
"FBgn0037611"	"41031"	"CG11755"
"FBgn0053325"	"2768664"	"CG33325"
"FBgn0001180"	"41032"	"hb"
"FBgn0037613"	"41034"	"Cks85A"
"FBgn0037612"	"41033"	"CG8112"
"FBgn0037614"	"41035"	"TMEM216"
"FBgn0037615"	"41036"	"CG11760"
"FBgn0037616"	"41037"	"CG8136"
"FBgn0037617"	"41038"	"nom"
"FBgn0037618"	"41039"	"ouib"
"FBgn0037619"	"41040"	"CG8159"
"FBgn0037620"	"41041"	"ranshi"
"FBgn0037621"	"41042"	"M1BP"
"FBgn0037622"	"41043"	"CG8202"
"FBgn0037623"	"41044"	"CG9801"
"FBgn0037624"	"41045"	"CG8223"
"FBgn0037625"	"41046"	"CG11768"
"FBgn0261015"	"8674049"	"Pif1A"
"FBgn0046874"	"3771985"	"Pif1B"
"FBgn0053191"	"251270"	"CG33191"
"FBgn0053189"	"326328"	"CG33189"
"FBgn0037630"	"41052"	"Ir85a"
"FBgn0037632"	"41054"	"CCT7"
"FBgn0037633"	"41055"	"CG9839"
"FBgn0037634"	"41056"	"hng2"
"FBgn0037635"	"41057"	"CG9837"
"FBgn0037637"	"41059"	"IscU"
"FBgn0037638"	"41060"	"CG8379"
"FBgn0262614"	"41062"	"pyd"
"FBgn0003015"	"41066"	"osk"
"FBgn0037643"	"41067"	"skap"
"FBgn0037644"	"41068"	"CG11964"
"FBgn0037647"	"41071"	"RagA-B"
"FBgn0027503"	"41072"	"CG11970"
"FBgn0260243"	"41073"	"E(var)3-9"
"FBgn0037648"	"41074"	"CG11975"
"FBgn0051100"	"41075"	"CG31100"
"FBgn0037652"	"41078"	"CG11980"
"FBgn0026380"	"41079"	"Prosbeta3"
"FBgn0037653"	"41080"	"CG11982"
"FBgn0037654"	"41081"	"CG11983"
"FBgn0037655"	"41082"	"Kcmf1"
"FBgn0040534"	"50007"	"Sf3b5"
"FBgn0037656"	"41083"	"CG11986"
"FBgn0264075"	"41084"	"tgo"
"FBgn0002932"	"41085"	"neur"
"FBgn0037657"	"41086"	"hyx"
"FBgn0010222"	"47895"	"Nmdmc"
"FBgn0014018"	"41087"	"Rel"
"FBgn0028708"	"41089"	"Mst85C"
"FBgn0037659"	"41090"	"Kdm2"
"FBgn0037660"	"41091"	"beag"
"FBgn0037661"	"41092"	"Ada"
"FBgn0003165"	"41094"	"pum"
"FBgn0000412"	"41095"	"D1"
"FBgn0260935"	"41096"	"Vps15"
"FBgn0037664"	"41097"	"CG8420"
"FBgn0037667"	"41100"	"CG16734"
"FBgn0037668"	"41101"	"CG16736"
"FBgn0037669"	"41102"	"Ibf2"
"FBgn0037670"	"41103"	"Ibf1"
"FBgn0037671"	"41104"	"VhaM8.9"
"FBgn0037672"	"41105"	"sage"
"FBgn0010803"	"45399"	"TrpRS"
"FBgn0285911"	"41107"	"Vps16A"
"FBgn0037677"	"41110"	"CG12951"
"FBgn0037678"	"41111"	"CG16749"
"FBgn0037679"	"41112"	"Aduk"
"FBgn0037680"	"41113"	"pasi2"
"FBgn0266410"	"41114"	"CG45050"
"FBgn0263750"	"14462445"	"CG43675"
"FBgn0037683"	"41116"	"CG18473"
"FBgn0037684"	"41117"	"CG8129"
"FBgn0000723"	"41118"	"FER"
"FBgn0037685"	"41119"	"Or85f"
"FBgn0083953"	"4379851"	"CG34117"
"FBgn0037686"	"41120"	"RpL34b"
"FBgn0037687"	"41121"	"CG8132"
"FBgn0037688"	"41122"	"CG9356"
"FBgn0037689"	"41123"	"CG8135"
"FBgn0260237"	"8674100"	"CG42511"
"FBgn0003889"	"41124"	"betaTub85D"
"FBgn0011740"	"41126"	"alpha-Man-IIa"
"FBgn0261552"	"44258"	"ps"
"FBgn0037697"	"41133"	"GstZ2"
"FBgn0037698"	"41134"	"CG16779"
"FBgn0043791"	"41135"	"phu"
"FBgn0014380"	"41136"	"RhoL"
"FBgn0037700"	"41137"	"CG8149"
"FBgn0267790"	"41138"	"rump"
"FBgn0003205"	"41140"	"Ras85D"
"FBgn0014022"	"41139"	"Rlb1"
"FBgn0014023"	"41141"	"mRpL47"
"FBgn0037702"	"261329"	"CG8176"
"FBgn0037703"	"41143"	"JHDM2"
"FBgn0000244"	"41144"	"by"
"FBgn0037705"	"41145"	"mura"
"FBgn0037707"	"41147"	"RnpS1"
"FBgn0037708"	"41148"	"CG9386"
"FBgn0037709"	"41149"	"CG8199"
"FBgn0024833"	"41150"	"AP-1mu"
"FBgn0027950"	"41151"	"MBD-like"
"FBgn0037710"	"41152"	"CG9393"
"FBgn0261049"	"41153"	"Vps45"
"FBgn0037712"	"41154"	"CG16789"
"FBgn0037713"	"41155"	"CG16790"
"FBgn0037714"	"41156"	"CG9396"
"FBgn0037715"	"41157"	"CG9399"
"FBgn0027338"	"41158"	"Kap-alpha3"
"FBgn0037716"	"41159"	"CG8273"
"FBgn0037717"	"41160"	"CG8301"
"FBgn0037718"	"41161"	"P58IPK"
"FBgn0037719"	"41162"	"bocks"
"FBgn0037720"	"41163"	"CG8312"
"FBgn0037721"	"41164"	"CG9427"
"FBgn0037722"	"41165"	"CG8319"
"FBgn0005585"	"41166"	"Calr"
"FBgn0037723"	"41167"	"SpdS"
"FBgn0003334"	"41168"	"Scm"
"FBgn0037724"	"41169"	"Fst"
"FBgn0037726"	"41171"	"CG9492"
"FBgn0037727"	"41172"	"CG8358"
"FBgn0037728"	"41173"	"CG16817"
"FBgn0028997"	"41174"	"nmdyn-D7"
"FBgn0037730"	"41175"	"CG9444"
"FBgn0069242"	"41177"	"eca"
"FBgn0037731"	"41176"	"CG18542"
"FBgn0037731"	"318260"	"CG32939"
"FBgn0260463"	"41178"	"Unc-115b"
"FBgn0053105"	"318890"	"p24-2"
"FBgn0052939"	"41176"	"CG18542"
"FBgn0052939"	"318260"	"CG32939"
"FBgn0051352"	"261629"	"Unc-115a"
"FBgn0037734"	"41179"	"trbd"
"FBgn0278604"	"41180"	"dmt"
"FBgn0002431"	"41181"	"hyd"
"FBgn0262477"	"41182"	"FoxP"
"FBgn0003886"	"41183"	"alphaTub85E"
"FBgn0037736"	"41184"	"CG12950"
"FBgn0037737"	"41185"	"Pnn"
"FBgn0085438"	"5740854"	"CG34409"
"FBgn0037739"	"41187"	"CG12948"
"FBgn0005777"	"49779"	"PpD3"
"FBgn0037741"	"41189"	"CG16908"
"FBgn0037742"	"41190"	"Rpt3R"
"FBgn0037743"	"41191"	"CG8412"
"FBgn0266720"	"41193"	"Snap24"
"FBgn0037746"	"41194"	"CG8478"
"FBgn0024330"	"44728"	"MED6"
"FBgn0037747"	"41195"	"CG8481"
"FBgn0037750"	"41198"	"Whamy"
"FBgn0037751"	"41199"	"topi"
"FBgn0261599"	"41200"	"RpS29"
"FBgn0037753"	"41201"	"CG12947"
"FBgn0037754"	"41203"	"CG8500"
"FBgn0037755"	"41204"	"CG12945"
"FBgn0037756"	"41205"	"CG8507"
"FBgn0037757"	"41206"	"CG8516"
"FBgn0037758"	"41207"	"CG9467"
"FBgn0037759"	"41208"	"CG8526"
"FBgn0037760"	"41209"	"FBXO11"
"FBgn0037765"	"41214"	"CG9458"
"FBgn0267336"	"41217"	"Glut4EF"
"FBgn0037770"	"41219"	"Art4"
"FBgn0045473"	"117475"	"Gr85a"
"FBgn0037772"	"41221"	"Spn85F"
"FBgn0037773"	"41222"	"CG5359"
"FBgn0053208"	"41225"	"Mical"
"FBgn0051407"	"318716"	"CG31407"
"FBgn0027524"	"41226"	"CG3909"
"FBgn0037777"	"41227"	"CG11722"
"FBgn0037778"	"41228"	"mtTFB2"
"FBgn0037780"	"41230"	"ohgt"
"FBgn0037781"	"41231"	"Fancl"
"FBgn0028734"	"37528"	"Fmr1"
"FBgn0037788"	"41238"	"CG3940"
"FBgn0266721"	"41239"	"gammaSnap2"
"FBgn0001321"	"47137"	"knk"
"FBgn0004889"	"47877"	"tws"
"FBgn0037792"	"41242"	"TAF1B"
"FBgn0086359"	"49580"	"Invadolysin"
"FBgn0037794"	"41244"	"CG6254"
"FBgn0040238"	"53431"	"Best1"
"FBgn0004575"	"41247"	"Syn"
"FBgn0037797"	"41249"	"CG12420"
"FBgn0083943"	"4379852"	"CG34107"
"FBgn0261928"	"41252"	"CG42795"
"FBgn0037801"	"41253"	"CG3999"
"FBgn0040078"	"53439"	"pont"
"FBgn0262617"	"41256"	"CG43143"
"FBgn0037807"	"41259"	"CG6293"
"FBgn0266717"	"41260"	"Bruce"
"FBgn0037809"	"41261"	"CG12818"
"FBgn0037810"	"41262"	"sle"
"FBgn0037811"	"41263"	"CG12592"
"FBgn0037812"	"41264"	"CG18545"
"FBgn0051406"	"318715"	"CG31406"
"FBgn0015396"	"41265"	"jumu"
"FBgn0020379"	"41266"	"Rfx"
"FBgn0259938"	"44669"	"cwo"
"FBgn0045443"	"117467"	"mthl11"
"FBgn0037814"	"41268"	"CG6325"
"FBgn0024957"	"41269"	"Irp-1B"
"FBgn0037815"	"41270"	"Rrp46"
"FBgn0037816"	"41271"	"CG6345"
"FBgn0001235"	"41273"	"hth"
"FBgn0037818"	"41274"	"CG6465"
"FBgn0037819"	"41275"	"CG14688"
"FBgn0262717"	"3772559"	"Skeletor"
"FBgn0020385"	"41279"	"pug"
"FBgn0037822"	"41278"	"CG14683"
"FBgn0051391"	"41280"	"CG31391"
"FBgn0051467"	"318751"	"CG31467"
"FBgn0051278"	"41282"	"CG31278"
"FBgn0051373"	"318700"	"CG31373"
"FBgn0004841"	"41286"	"TkR86C"
"FBgn0037829"	"41287"	"CG14691"
"FBgn0051272"	"326130"	"CG31272"
"FBgn0051390"	"41288"	"MED7"
"FBgn0037831"	"41289"	"Cap-H2"
"FBgn0010421"	"41290"	"TfIIFbeta"
"FBgn0266446"	"19834760"	"CG45076"
"FBgn0261356"	"8674052"	"CG42633"
"FBgn0261380"	"41293"	"mRpL37"
"FBgn0260944"	"41294"	"Rbp1"
"FBgn0037834"	"41295"	"Art1"
"FBgn0017577"	"41296"	"Mcm5"
"FBgn0037836"	"41298"	"CG14692"
"FBgn0037838"	"41300"	"CG4089"
"FBgn0261053"	"41302"	"Cad86C"
"FBgn0259740"	"7354424"	"CG42394"
"FBgn0037841"	"41303"	"CG4565"
"FBgn0037842"	"41304"	"CG6567"
"FBgn0037843"	"41305"	"CG4511"
"FBgn0037844"	"41306"	"CG4570"
"FBgn0037845"	"41307"	"CG14694"
"FBgn0037846"	"41308"	"CG6574"
"FBgn0267376"	"41309"	"SelR"
"FBgn0037848"	"41310"	"Tsp86D"
"FBgn0011768"	"41311"	"Fdh"
"FBgn0037849"	"41312"	"CG4596"
"FBgn0022359"	"41313"	"Sodh-2"
"FBgn0037850"	"41314"	"CG14695"
"FBgn0037852"	"41316"	"Tpc1"
"FBgn0037856"	"41320"	"Leash"
"FBgn0042094"	"41318"	"Adk3"
"FBgn0037855"	"41319"	"CG6621"
"FBgn0037857"	"41321"	"Tengl4"
"FBgn0083950"	"4379854"	"CG34114"
"FBgn0040251"	"53502"	"Ugt86Di"
"FBgn0026314"	"41333"	"Ugt35b"
"FBgn0026315"	"41334"	"Ugt35a"
"FBgn0040252"	"53503"	"Ugt86Dh"
"FBgn0261808"	"41339"	"cu"
"FBgn0037873"	"41340"	"SdhC"
"FBgn0037874"	"41341"	"Tctp"
"FBgn0037875"	"41342"	"ZnT86D"
"FBgn0086472"	"41343"	"RpS25"
"FBgn0037876"	"41344"	"CG4820"
"FBgn0037877"	"41345"	"CG6689"
"FBgn0037878"	"41346"	"CG6693"
"FBgn0020910"	"41347"	"RpL3"
