Chr	Start	End	Target	Score	IM_PET
chr2L	28390	30390	FBgn0031277	0.934	0
chr2L	28390	30390	kraken	0.955	0
chr2L	28390	30390	dbe	0.942	0
chr2L	90749	92749	FBgn0031277	0.984	0
chr2L	90749	92749	Nnf1b	0.96	0
chr2L	90749	92749	FBgn0031283	0.966	0
chr2L	430707	432707	mtRNApol	0.978	0
chr2L	430707	432707	CG14339	0.968	0
chr2L	430707	432707	Tango14	0.966	0
chr2L	441196	443196	CG31921	0.985	0
chr2L	441196	443196	mtRNApol	0.972	0
chr2L	441196	443196	Tango14	0.97	0
chr2L	519491	521491	FBgn0263081	0.982	0
chr2L	519491	521491	FBgn0053922	0.959	0
chr2L	519491	521491	FBgn0051928	0.967	0
chr2L	1065678	1067678	CG43755	0.96	0
chr2L	1065678	1067678	CG31937	0.966	0
chr2L	1065678	1067678	FBgn0040717	0.972	0
chr2L	1116633	1118633	CG3345	0.966	0
chr2L	1116633	1118633	CG17078	0.962	0
chr2L	1116633	1118633	FBgn0045500	0.969	0
chr2L	1117151	1119151	CG3345	0.966	0
chr2L	1117151	1119151	CG17078	0.962	0
chr2L	1117151	1119151	FBgn0045500	0.969	0
chr2L	1409893	1411893	shv	0.964	0
chr2L	1409893	1411893	rempA	0.965	0
chr2L	1409893	1411893	GABA-B-R3	0.972	0
chr2L	1411424	1413424	shv	0.966	0
chr2L	1411424	1413424	rempA	0.965	0
chr2L	1411424	1413424	GABA-B-R3	0.972	0
chr2L	1722543	1724543	FBgn0031277	0.964	0
chr2L	1722543	1724543	CG15390	0.963	0
chr2L	1722543	1724543	Rad1	0.969	0
chr2L	2159233	2161233	CG7420	0.97	0
chr2L	2159233	2161233	Kebab	0.969	0
chr2L	2159233	2161233	Prx6005	0.971	0
chr2L	2159773	2161773	CG7420	0.971	0
chr2L	2159773	2161773	Kebab	0.986	0
chr2L	2159773	2161773	Prx6005	0.971	0
chr2L	2163548	2165548	CG7420	0.976	0
chr2L	2163548	2165548	Prx6005	0.971	0
chr2L	2163548	2165548	NTPase	0.966	0
chr2L	2164443	2166443	CG7420	0.976	0
chr2L	2164443	2166443	Prx6005	0.971	0
chr2L	2164443	2166443	NTPase	0.966	0
chr2L	2166949	2168949	CG7420	0.976	0
chr2L	2166949	2168949	Prx6005	0.978	0
chr2L	2166949	2168949	NTPase	0.966	0
chr2L	2175589	2177589	CG7420	0.978	0
chr2L	2175589	2177589	Prx6005	0.981	0
chr2L	2175589	2177589	NTPase	0.974	0
chr2L	2235834	2237834	FBgn0264979	0.981	0
chr2L	2235834	2237834	lilli	0.946	0
chr2L	2235834	2237834	FBgn0051698	0.969	0
chr2L	2454223	2456223	FBgn0051928	0.966	0
chr2L	2454223	2456223	FBgn0045497	0.966	0
chr2L	2454223	2456223	Mad	0.967	0
chr2L	2457343	2459343	FBgn0051928	0.966	0
chr2L	2457343	2459343	FBgn0045497	0.968	0
chr2L	2457343	2459343	Mad	0.967	0
chr2L	2458019	2460019	FBgn0051928	0.966	0
chr2L	2458019	2460019	FBgn0045497	0.968	0
chr2L	2458019	2460019	Mad	0.967	0
chr2L	4031226	4033226	toc	0.965	0
chr2L	4031226	4033226	Fign	0.97	0
chr2L	4031226	4033226	mRpL28	0.972	0
chr2L	4033406	4035406	toc	0.965	0
chr2L	4033406	4035406	Fign	0.97	0
chr2L	4033406	4035406	mRpL28	0.974	0
chr2L	4033890	4035890	toc	0.965	0
chr2L	4033890	4035890	Fign	0.97	0
chr2L	4033890	4035890	mRpL28	0.974	0
chr2L	4034572	4036572	toc	0.965	0
chr2L	4034572	4036572	Fign	0.97	0
chr2L	4034572	4036572	mRpL28	0.974	0
chr2L	4052900	4054900	FBgn0259949	0.976	0
chr2L	4052900	4054900	mRpL28	0.957	0
chr2L	4052900	4054900	Tfb5	0.957	0
chr2L	4363075	4365075	eIF3h	0.982	0
chr2L	4363075	4365075	senju	0.981	0
chr2L	4363075	4365075	FBgn0031690	0.964	0
chr2L	4367461	4369461	eIF3h	0.982	0
chr2L	4367461	4369461	senju	0.981	0
chr2L	4367461	4369461	CG4230	0.966	0
chr2L	4822689	4824689	tank	0.979	0
chr2L	4822689	4824689	Cap-D3	0.971	0
chr2L	4822689	4824689	CG31648	0.982	0
chr2L	5201529	5203529	Gpdh	0.959	0
chr2L	5201529	5203529	CG9109	0.954	0
chr2L	5201529	5203529	smal	0.951	0
chr2L	5235109	5237109	HP6	0.972	0
chr2L	5235109	5237109	Gpdh	0.979	0
chr2L	5235109	5237109	CG9044	0.972	0
chr2L	5235276	5237276	HP6	0.972	0
chr2L	5235276	5237276	Gpdh	0.979	0
chr2L	5235276	5237276	CG9044	0.972	0
chr2L	6611718	6613718	Gpdh	0.978	0
chr2L	6611718	6613718	CG9044	0.973	0
chr2L	6611718	6613718	FBgn0086266	0.961	0
chr2L	6736756	6738756	CG11034	0.975	0
chr2L	6736756	6738756	CG31643	0.981	0
chr2L	6736756	6738756	CG9150	0.979	0
chr2L	6793112	6795112	Gpdh	0.966	0
chr2L	6793112	6795112	CG9044	0.966	0
chr2L	6793112	6795112	Obp28a	0.984	0
chr2L	7529005	7531005	CG8419	0.968	0
chr2L	7529005	7531005	Ssb-c31a	0.968	0
chr2L	7529005	7531005	CG8360	0.984	0
chr2L	8385943	8387943	FBgn0262880	0.97	0
chr2L	8385943	8387943	FBgn0040098	0.974	0
chr2L	8385943	8387943	FBgn0032109	0.975	0
chr2L	8508614	8510614	FBgn0286198	0.971	0
chr2L	8508614	8510614	CG7115	0.977	0
chr2L	8508614	8510614	Rack1	0.97	0
