chr2L	23011544	4929960	0
chr2LHet	368872	16868	0
chr2R	21146708	3643868	0
chr2RHet	3288761	164663	0
chr3L	24543557	3065249	0
chr3LHet	2555491	163724	0
chr3R	27905053	3904033	0
chr3RHet	2517507	110892	0
chr4	1351857	224287	0
chrM	19517	701004	0
chrX	22422827	2179700	0
chrXHet	204112	1950728	0
chrYHet	347038	14534	0
1	195471971	554954	0
10	130694993	390278	0
11	122082543	392747	0
12	120129022	336020	0
13	120421639	348144	0
14	124902244	350649	0
15	104043685	299812	0
16	98207768	283013	0
17	94987271	362660	0
18	90702639	259252	0
19	61431566	195601	0
2	182113224	528094	0
3	160039680	458663	0
4	156508116	441423	0
5	151834684	441355	0
6	149736546	466992	0
7	145441459	421856	0
8	129401213	384040	0
9	124595110	397134	0
MT	16299	5264	0
X	171031299	412400	0
Y	91744698	212573	0
JH584295.1	1976	25	0
JH584292.1	14945	56	0
GL456368.1	20208	46	0
GL456396.1	21240	58	0
GL456359.1	22974	58	0
GL456382.1	23158	52	0
GL456392.1	23629	58	0
GL456394.1	24323	43	0
GL456390.1	24668	41	0
GL456387.1	24685	41	0
GL456381.1	25871	56	0
GL456370.1	26764	150	0
GL456372.1	28664	59	0
GL456389.1	28772	66	0
GL456378.1	31602	85	0
GL456360.1	31704	87	0
GL456385.1	35240	88	0
GL456383.1	38659	151	0
GL456213.1	39340	129	0
GL456239.1	40056	150	0
GL456367.1	42057	100	0
GL456366.1	47073	120	0
GL456393.1	55711	146	0
GL456216.1	66673	232	0
GL456379.1	72385	157	0
JH584304.1	114452	553	0
GL456212.1	153618	746	0
JH584302.1	155838	296	0
JH584303.1	158099	265	0
GL456210.1	169725	420	0
GL456219.1	175968	370	0
JH584300.1	182347	380	0
JH584298.1	184189	372	0
JH584294.1	191905	539	0
GL456354.1	195993	371	0
JH584296.1	199368	426	0
JH584297.1	205776	448	0
GL456221.1	206961	501	0
JH584293.1	207968	520	0
GL456350.1	227966	580	0
GL456211.1	241735	543	0
JH584301.1	259875	1762	0
GL456233.1	336933	722	0
JH584299.1	953012	2118	0
*	0	0	6907430
